Rahul Sharma,Savings,13810001381,444102638,1000.0,942,9738
Neha Upadhyay,Checking,28310002211,431551383,2500.0,935865087433,6594
Harish Solanki,Checking,27510003320,476687875,3500.0,797439400121,4851
Bhoomi Patel,Checking,22310004327,5965723,6000.0,330112366030,4233
Parth Desai,Savings,14510005532,217512645,1500.0,3,3822
Hiren Sagar,Checking,22710006463,2607927,10000.0,740496217903,4458
Devanshi Patel,Savings,19710007790,469426397,15000.0,441,9299
Dhruvin Patel,Savings,14410008882,233479044,2200.0,791,3718
Miraj Chawda,Savings,19610009141,3827896,6500.0,437,9642
Ajay Patel,Checking,26810010611,233025468,25000.0,803623711968,4612
Urja Shah,Savings,18210011315,395157182,12500.0,849,6535
Subodh Wani,Checking,21710012928,208728517,6500.0,846322907166,1937
Hem Patel,Savings,11610013164,687057316,1500.0,23,2716
Shahrukh Khan,Checking,20110014135,9545701,4500.0,793377791693,9967
George Martin,Checking,22910015708,164445329,1000.0,543054868860,7416
Parth Kapadia,Savings,18910016400,123456789,2200.0,577,7447
